#   See ftp://ftp.ncbi.nlm.nih.gov/genomes/README_assembly_summary.txt for a description of the columns in this file.
# assembly_accession	bioproject	biosample	wgs_master	refseq_category	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	excluded_from_refseq	relation_to_type_material	asm_not_live_date
GCF_014824575.2	PRJNA673222	SAMN12282880	VSFL00000000.1	representative genome	192404	192404	Sturnira hondurensis	ecotype=Veracruz	20B	latest	Scaffold	Minor	Full	2020/09/30	WHU_Shon_v2.1	College of Life Sciences at Wuhan University	GCA_014824575.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/824/575/GCF_014824575.2_WHU_Shon_v2.1			na
GCF_000327345.1	PRJNA232515	SAMN01103204	ALWT00000000.1	representative genome	225400	225400	Myotis davidii			latest	Scaffold	Major	Full	2012/12/20	ASM32734v1	BGI	GCA_000327345.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/327/345/GCF_000327345.1_ASM32734v1			na
GCF_003704035.1	PRJNA738144	SAMN10150431	RCWR00000000.1	representative genome	230844	10042	Peromyscus maniculatus bairdii		BW	latest	Chromosome	Major	Full	2020/09/17	HU_Pman_2.1.3	Harvard University / Howard Hughes Medical Institute	GCA_003704035.3	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/704/035/GCF_003704035.1_HU_Pman_2.1.3			na
GCF_000334495.1	PRJNA221634	SAMN01084043	ALAR00000000.1	representative genome	246437	246437	Tupaia chinensis			latest	Scaffold	Major	Full	2013/01/31	TupChi_1.0	BGI	GCA_000334495.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/334/495/GCF_000334495.1_TupChi_1.0			na
GCF_012295265.1	PRJNA649359	SAMN14395261	JAASLC000000000.1	representative genome	286419	9612	Canis lupus dingo	ecotype=Alpine	COOINDA	latest	Chromosome	Major	Full	2020/04/15	UNSW_AlpineDingo_1.0	University of New South Wales	GCA_012295265.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/012/295/265/GCF_012295265.1_UNSW_AlpineDingo_1.0			na
GCF_001595765.1	PRJNA317472	SAMN03652541	LDJU00000000.1	representative genome	291302	291302	Miniopterus natalensis		MN2012-01	latest	Scaffold	Major	Full	2016/03/22	Mnat.v1	University of California, San Francisco	GCA_001595765.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/595/765/GCF_001595765.1_Mnat.v1			na
GCF_000493695.1	PRJNA237330	SAMN02192642	ATDI00000000.1	representative genome	310752	9767	Balaenoptera acutorostrata scammoni			latest	Scaffold	Major	Full	2013/10/31	BalAcu1.0	Korea Ocean Research & Development Institute	GCA_000493695.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/493/695/GCF_000493695.1_BalAcu1.0			na
GCF_000951035.1	PRJNA279495	SAMN03121814	JYKR00000000.1	representative genome	336983	54131	Colobus angolensis palliatus		OR3802	latest	Scaffold	Major	Full	2015/03/12	Cang.pa_1.0	Baylor College of Medicine	GCA_000951035.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/951/035/GCF_000951035.1_Cang.pa_1.0			na
GCF_000956105.1	PRJNA281642	SAMN03121823	JZKE00000000.1	representative genome	379532	379532	Propithecus coquereli		6110/MARCELLA	latest	Scaffold	Major	Full	2015/03/23	Pcoq_1.0	Baylor College of Medicine	GCA_000956105.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/956/105/GCF_000956105.1_Pcoq_1.0			na
GCF_002288905.1	PRJNA407952	SAMN07211055	NSES00000000.1	representative genome	391180	34882	Enhydra lutris kenyoni		GAN:26980312	latest	Scaffold	Major	Full	2017/09/11	ASM228890v2	BC Cancer Agency	GCA_002288905.2	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/288/905/GCF_002288905.1_ASM228890v2			na
GCF_009834535.1	PRJNA605179	SAMN12102236	VSZR00000000.1	representative genome	419612	419612	Camelus ferus		YT-003-E	latest	Chromosome	Major	Full	2020/01/08	BCGSAC_Cfer_1.0	The Bactrian Camels Genome Sequencing and Analysis Consortium	GCA_009834535.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/834/535/GCF_009834535.1_BCGSAC_Cfer_1.0			na
GCF_020171115.1	PRJNA769404	SAMN19764019	JAIAWX000000000.1	representative genome	452646	452646	Neogale vison		M4711	latest	Chromosome	Major	Full	2021/09/29	ASM_NN_V1	Dalhousie University	GCA_020171115.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/171/115/GCF_020171115.1_ASM_NN_V1			na
GCF_000696425.1	PRJNA253111	SAMN01758971	JMZW00000000.1	representative genome	482537	482537	Galeopterus variegatus			latest	Scaffold	Major	Full	2014/06/05	G_variegatus-3.0.2	Washington University (WashU)	GCA_000696425.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/696/425/GCF_000696425.1_G_variegatus-3.0.2			na
GCF_004785775.1	PRJNA533235	SAMN11172698	SRMG00000000.1	representative genome	491861	491861	Grammomys surdaster		TR1022	latest	Scaffold	Major	Full	2019/04/12	NIH_TR_1.0	NIH Sequencing Center	GCA_004785775.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/785/775/GCF_004785775.1_NIH_TR_1.0			na
GCF_018345385.1	PRJNA730899	SAMN16815335	JADWOQ000000000.1	representative genome	494514	494514	Vulpes lagopus	strain=Blue_001		latest	Chromosome	Major	Full	2021/05/12	ASM1834538v1	Hebei Normal University of Science and Technology	GCA_018345385.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/018/345/385/GCF_018345385.1_ASM1834538v1			na
GCF_002776525.3	PRJNA419387	SAMN07735529	PDMG00000000.3	representative genome	591936	591936	Piliocolobus tephrosceles		RC106	latest	Chromosome	Major	Full	2019/12/12	ASM277652v3	University of Oregon	GCA_002776525.3	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/776/525/GCF_002776525.3_ASM277652v3			na
GCF_012274545.1	PRJNA625221	SAMN10973724	JAAHWF000000000.1	representative genome	885580	885580	Fukomys damarensis		Sample0158	latest	Scaffold	Major	Full	2020/04/13	DMR_v1.0_HiC	DNA Zoo Consortium	GCA_012274545.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/012/274/545/GCF_012274545.1_DMR_v1.0_HiC			na
GCF_000622305.1	PRJNA254049	SAMN02299330	AXCS00000000.1	representative genome	1026970	1026970	Nannospalax galili		Female #2095	latest	Scaffold	Major	Full	2014/06/05	S.galili_v1.0	BGI	GCA_000622305.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/622/305/GCF_000622305.1_S.galili_v1.0			na
GCF_903992535.2	PRJNA687149	SAMEA994740	CAJEUG000000000.2	representative genome	1047088	1047088	Arvicola amphibius			latest	Chromosome	Major	Full	2021/05/15	mArvAmp1.2	Wellcome Sanger Institute	GCA_903992535.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/903/992/535/GCF_903992535.2_mArvAmp1.2			na
GCF_000298275.1	PRJNA237355	SAMN00744890	ALYB00000000.1	representative genome	1230840	9818	Orycteropus afer afer		SDZICR_OR568_19922	latest	Scaffold	Major	Full	2012/09/20	OryAfe1.0	Broad Institute	GCA_000298275.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/298/275/GCF_000298275.1_OryAfe1.0			na
GCF_019320065.1	PRJNA758978	SAMN15814149	JACTMD000000000.1	representative genome	1574408	1574408	Cervus canadensis		Bull #8, Minnesota	latest	Chromosome	Major	Full	2021/07/26	ASM1932006v1	Iowa State University	GCA_019320065.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/320/065/GCF_019320065.1_ASM1932006v1			na
GCF_014898765.1	PRJNA717316	SAMN14930875	JACEOH000000000.1	representative genome	1608482	1608482	Puma yagouaroundi	ecotype=Mexico		latest	Scaffold	Major	Full	2020/10/20	PumYag	Felidae consortium	GCA_014898765.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/898/765/GCF_014898765.1_PumYag			na
GCF_003031525.2	PRJNA449518	SAMN05831577	MKKW00000000.1	representative genome	1706337	189058	Neophocaena asiaeorientalis asiaeorientalis	breed=wild		latest	Scaffold	Minor	Full	2018/04/03	Neophocaena_asiaeorientalis_V1	Nanjing normal university	GCA_003031525.2	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/031/525/GCF_003031525.2_Neophocaena_asiaeorientalis_V1			na
GCF_000164805.1	PRJNA236776	SAMN02445010	ABRT00000000.2	representative genome	1868482	1868482	Carlito syrichta		Samal-C Ts95f	latest	Scaffold	Major	Full	2013/09/18	Tarsius_syrichta-2.0.1	Washington University (WashU)	GCA_000164805.2	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/164/805/GCF_000164805.1_Tarsius_syrichta-2.0.1			na
GCF_001604975.1	PRJNA328123	SAMN04522148	LVWQ00000000.1	representative genome	2715852	2715852	Cebus imitator		Cc_AM_T3	latest	Scaffold	Major	Full	2016/04/04	Cebus_imitator-1.0	McDonnell Genome Institute - Washington University School of Medicine	GCA_001604975.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/604/975/GCF_001604975.1_Cebus_imitator-1.0			na
GCF_010993605.1	PRJNA611764	SAMN12629506	JAAIYE000000000.1	representative genome	7757	7757	Petromyzon marinus		kPetMar1	latest	Chromosome	Major	Full	2020/02/24	kPetMar1.pri	Vertebrate Genomes Project	GCA_010993605.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/993/605/GCF_010993605.1_kPetMar1.pri			na
GCF_902713615.1	PRJNA688266	SAMEA994730	CACTIT000000000.1	representative genome	7830	7830	Scyliorhinus canicula			latest	Chromosome	Major	Full	2020/12/17	sScyCan1.1	SC	GCA_902713615.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/902/713/615/GCF_902713615.1_sScyCan1.1			na
GCF_018977255.1	PRJNA744271	SAMN12905446	WEZY00000000.1	representative genome	7868	7868	Callorhinchus milii		IMCB2004	latest	Scaffold	Major	Full	2021/06/21	IMCB_Cmil_1.0	Institute of Molecular and Cell Biology, A*star, Singapore	GCA_018977255.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/018/977/255/GCF_018977255.1_IMCB_Cmil_1.0			na
GCF_019279795.1	PRJNA754246	SAMN17890435	JAGYFI000000000.1	representative genome	7888	7888	Protopterus annectens		FY-2018-M	latest	Chromosome	Major	Full	2021/07/20	PAN1.0	Northwestern Polytechnical University	GCA_019279795.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/279/795/GCF_019279795.1_PAN1.0			na
GCF_000225785.1	PRJNA219830	SAMN00138723	AFYH00000000.1	representative genome	7897	7897	Latimeria chalumnae		SAIAB 97564	latest	Scaffold	Major	Full	2011/09/12	LatCha1	Broad Institute	GCA_000225785.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/225/785/GCF_000225785.1_LatCha1			na
GCF_010645085.1	PRJNA635364	SAMN12612932	VTUV00000000.1	representative genome	7906	7906	Acipenser ruthenus		Gen_M01	latest	Chromosome	Major	Full	2020/02/19	ASM1064508v1	University of Wuerzburg	GCA_010645085.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/645/085/GCF_010645085.1_ASM1064508v1			na
GCF_017654505.1	PRJNA726223	SAMN09842169	JADDYA000000000.1	representative genome	7913	7913	Polyodon spathula		WHYD16114869_AA	latest	Chromosome	Major	Full	2021/03/31	ASM1765450v1	Yangtze River Fisheries Research Institute, Chinese Academy of Fishery Sciences	GCA_017654505.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/017/654/505/GCF_017654505.1_ASM1765450v1			na
GCF_000242695.1	PRJNA221149	SAMN00706774	AHAT00000000.1	representative genome	7918	7918	Lepisosteus oculatus		Spotted Gar 1	latest	Chromosome	Major	Full	2012/01/13	LepOcu1	Broad Institute	GCA_000242695.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/242/695/GCF_000242695.1_LepOcu1			na
GCF_013347855.1	PRJNA643263	SAMN12623627	JABVMG000000000.1	representative genome	7936	7936	Anguilla anguilla		fAngAng1	latest	Chromosome	Major	Full	2020/06/18	fAngAng1.pri	Vertebrate Genomes Project	GCA_013347855.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/347/855/GCF_013347855.1_fAngAng1.pri			na
GCF_900700415.2	PRJNA587748	SAMEA5339254	CAADHV000000000.1	representative genome	7950	7950	Clupea harengus			latest	Chromosome	Major	Full	2019/04/16	Ch_v2.0.2	UPPSALA UNIVERISTY	GCA_900700415.2	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/700/415/GCF_900700415.2_Ch_v2.0.2			na
GCF_000002035.6	PRJNA13922	SAMN06930106		reference genome	7955	7955	Danio rerio			latest	Chromosome	Major	Full	2017/05/09	GRCz11	Genome Reference Consortium	GCA_000002035.4	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/035/GCF_000002035.6_GRCz11			na
GCF_003368295.1	PRJNA487739	SAMN09670328	QPKE00000000.1	representative genome	7957	7957	Carassius auratus	strain=Wakin		latest	Chromosome	Major	Full	2018/08/09	ASM336829v1	National Institutes of Health	GCA_003368295.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/368/295/GCF_003368295.1_ASM336829v1			na
GCF_018340385.1	PRJNA745992	SAMN17005855	JAEOAB000000000.1	representative genome	7962	7962	Cyprinus carpio		SPL01	latest	Chromosome	Major	Full	2021/05/12	ASM1834038v1	Chinese Academy of Fishery Sciences	GCA_018340385.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/018/340/385/GCF_018340385.1_ASM1834038v1			na
GCF_000372685.2	PRJNA237016	SAMN02981523	APWO00000000.2	representative genome	7994	7994	Astyanax mexicanus		Rio Sabinas/Rio Valles surface cross	latest	Chromosome	Major	Full	2017/09/25	Astyanax_mexicanus-2.0	Washington University School of Medince	GCA_000372685.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/372/685/GCF_000372685.2_Astyanax_mexicanus-2.0			na
GCF_001660625.1	PRJNA327588	SAMN03486842	LBML00000000.1	representative genome	7998	7998	Ictalurus punctatus	breed=USDA103		latest	Chromosome	Major	Full	2016/06/21	IpCoco_1.2	Auburn University	GCA_001660625.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/660/625/GCF_001660625.1_IpCoco_1.2			na
GCF_013358815.1	PRJNA645070	SAMN12623625	JABVME000000000.1	representative genome	8005	8005	Electrophorus electricus		fEleEle1	latest	Chromosome	Major	Full	2020/06/23	fEleEle1.pri	Vertebrate Genomes Project	GCA_013358815.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/358/815/GCF_013358815.1_fEleEle1.pri			na
GCF_011004845.1	PRJNA629749	SAMN12623624	JAAIYR000000000.1	representative genome	8010	8010	Esox lucius		fEsoLuc1	latest	Chromosome	Major	Full	2020/03/05	fEsoLuc1.pri	Vertebrate Genomes Project	GCA_011004845.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/011/004/845/GCF_011004845.1_fEsoLuc1.pri			na
GCF_012931545.1	PRJNA655759	SAMN12367893	JABAHX000000000.1	representative genome	8018	8018	Oncorhynchus keta		Oke142-1_Chum_Gynogen	latest	Chromosome	Major	Full	2020/04/29	Oket_V1	Fisheries and Oceans Canada	GCA_012931545.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/012/931/545/GCF_012931545.1_Oket_V1			na
GCF_002021735.2	PRJNA378663	SAMN05991263	MPKV00000000.2	representative genome	8019	8019	Oncorhynchus kisutch		150728-3	latest	Chromosome	Major	Full	2019/11/04	Okis_V2	University of Victoria	GCA_002021735.2	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/021/735/GCF_002021735.2_Okis_V2			na
GCF_013265735.2	PRJNA639144	SAMN14537335	JAAXML000000000.2	representative genome	8022	8022	Oncorhynchus mykiss		Arlee	latest	Chromosome	Major	Full	2020/09/23	USDA_OmykA_1.1	USDA/ARS	GCA_013265735.3	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/265/735/GCF_013265735.2_USDA_OmykA_1.1			na
GCF_006149115.1	PRJNA548514	SAMN11519041	SZNR00000000.1	representative genome	8023	8023	Oncorhynchus nerka		On170113-E2	latest	Chromosome	Major	Full	2019/06/07	Oner_1.0	Fisheries and Oceans Canada	GCA_006149115.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/149/115/GCF_006149115.1_Oner_1.0			na
GCF_000233375.1	PRJNA287919	SAMN02749551	AGKD00000000.4	representative genome	8030	8030	Salmo salar	breed=double haploid	Sally	latest	Chromosome	Major	Full	2015/06/10	ICSASG_v2	International Cooperation to Sequence the Atlantic Salmon Genome	GCA_000233375.4	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/233/375/GCF_000233375.1_ICSASG_v2			na
GCF_901001165.1	PRJNA550988	SAMEA994732	CAAJIE000000000.1	representative genome	8032	8032	Salmo trutta			latest	Chromosome	Major	Full	2019/06/02	fSalTru1.1	SC	GCA_901001165.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/901/001/165/GCF_901001165.1_fSalTru1.1			na
GCF_016432855.1	PRJNA690826	SAMN16985724	JAEAGN000000000.1	representative genome	8040	8040	Salvelinus namaycush		Seneca	latest	Chromosome	Major	Full	2021/01/06	SaNama_1.0	Universite Laval	GCA_016432855.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/432/855/GCF_016432855.1_SaNama_1.0			na
GCF_902167405.1	PRJNA557709	SAMEA5574046	CABHMC000000000.1	representative genome	8049	8049	Gadus morhua			latest	Chromosome	Major	Full	2019/07/16	gadMor3.0	SC	GCA_902167405.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/902/167/405/GCF_902167405.1_gadMor3.0			na
GCF_011125445.2	PRJNA615222	SAMN13668183	JAAEEJ000000000.2	representative genome	8078	8078	Fundulus heteroclitus		FHET01	latest	Chromosome	Major	Full	2020/08/13	MU-UCD_Fhet_4.1	University of Missouri	GCA_011125445.2	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/011/125/445/GCF_011125445.2_MU-UCD_Fhet_4.1			na
GCF_000633615.1	PRJNA232869	SAMN02404645	AZHG00000000.1	representative genome	8081	8081	Poecilia reticulata	strain=Guanapo		latest	Chromosome	Major	Full	2014/04/28	Guppy_female_1.0+MT	Max Planck Institute for Developmental Biology	GCA_000633615.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/633/615/GCF_000633615.1_Guppy_female_1.0_MT			na
GCF_002775205.1	PRJNA220265	SAMN08025980	PGSD00000000.1	representative genome	8083	8083	Xiphophorus maculatus	strain=JP 163 A		latest	Chromosome	Major	Full	2017/12/07	X_maculatus-5.0-male	The Genome Institute, Washington University at St. Louis	GCA_002775205.2	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/775/205/GCF_002775205.1_X_maculatus-5.0-male			na
GCF_003331165.1	PRJNA604828	SAMN09545741	QPIH00000000.2	representative genome	8084	8084	Xiphophorus hellerii	strain=12219		latest	Chromosome	Major	Full	2019/12/05	Xiphophorus_hellerii-4.1	McDonnell Genome Institute - Washington University School of Medicine	GCA_003331165.2	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/331/165/GCF_003331165.1_Xiphophorus_hellerii-4.1			na
GCF_002234675.1	PRJNA183868	SAMN06689957		representative genome	8090	8090	Oryzias latipes			latest	Chromosome	Major	Full	2017/07/27	ASM223467v1	The University of Tokyo	GCA_002234675.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/234/675/GCF_002234675.1_ASM223467v1			na
GCF_009769545.1	PRJNA625538	SAMN12629502	WNNC00000000.1	representative genome	8103	8103	Cyclopterus lumpus		fCycLum1	latest	Chromosome	Major	Full	2019/12/23	fCycLum1.pri	Vertebrate Genomes Project	GCA_009769545.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/769/545/GCF_009769545.1_fCycLum1.pri			na
GCF_001858045.2	PRJNA354796	SAMN05859795	MKQE00000000.2	representative genome	8128	8128	Oreochromis niloticus		F11D_XX	latest	Chromosome	Major	Full	2018/06/29	O_niloticus_UMD_NMBU	University of Maryland	GCA_001858045.3	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/858/045/GCF_001858045.2_O_niloticus_UMD_NMBU			na
GCF_018398535.1	PRJNA737037	SAMN17845830	JAGKPV000000000.1	representative genome	8153	8153	Haplochromis burtoni	strain=Fernald_Lab_line		latest	Scaffold	Major	Full	2021/05/19	NCSU_Asbu1	Reade Roberts Lab, North Carolina State University	GCA_018398535.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/018/398/535/GCF_018398535.1_NCSU_Asbu1			na
GCF_900246225.1	PRJNA488811	SAMEA104026430	OFHY00000000.3	representative genome	8154	8154	Astatotilapia calliptera			latest	Chromosome	Major	Full	2018/05/30	fAstCal1.2	SC	GCA_900246225.3	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/246/225/GCF_900246225.1_fAstCal1.2			na
GCF_004354835.1	PRJNA529871	SAMN10722690	SCKG00000000.1	representative genome	8167	8167	Perca flavescens		YP-PL-M2	latest	Chromosome	Major	Full	2019/03/19	PFLA_1.0	INRA (Fish Physiology and Genomics laboratory)	GCA_004354835.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/354/835/GCF_004354835.1_PFLA_1.0			na
GCF_010015445.1	PRJNA703996	SAMN12071746	VHII00000000.1	representative genome	8168	8168	Perca fluviatilis			latest	Chromosome	Major	Full	2020/01/30	GENO_Pfluv_1.0	SEX'PERCH	GCA_010015445.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/015/445/GCF_010015445.1_GENO_Pfluv_1.0			na
GCF_900880675.1	PRJNA558036	SAMEA104384835	CAAHFC000000000.1	representative genome	8175	8175	Sparus aurata			latest	Chromosome	Major	Full	2019/07/30	fSpaAur1.1	SC	GCA_900880675.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/880/675/GCF_900880675.1_fSpaAur1.1			na
GCF_904848185.1	PRJNA672841	SAMN16236878	CAJHBW000000000.1	representative genome	8177	8177	Acanthopagrus latus		v.2019	latest	Chromosome	Major	Full	2020/10/12	fAcaLat1.1	SC	GCA_904848185.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/904/848/185/GCF_904848185.1_fAcaLat1.1			na
GCF_001640805.1	PRJNA345597	SAMN04026617	LLXD00000000.1	representative genome	8187	8187	Lates calcarifer		ASB-BC8	latest	Scaffold	Major	Full	2016/05/09	ASM164080v1	Temasek Life Sciences Laboratory	GCA_001640805.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/640/805/GCF_001640805.1_ASM164080v1			na
GCF_000735185.1	PRJNA268318	SAMN02206445	AZAD00000000.1	representative genome	8208	8208	Notothenia coriiceps		Sejong01	latest	Scaffold	Major	Full	2014/07/29	NC01	Antarctic Fish Genome Project	GCA_000735185.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/735/185/GCF_000735185.1_NC01			na
GCF_902827175.1	PRJNA629559	SAMEA104242997	CADEHN000000000.1	representative genome	8218	8218	Gymnodraco acuticeps			latest	Scaffold	Major	Full	2020/04/15	fGymAcu1.1	SC	GCA_902827175.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/902/827/175/GCF_902827175.1_fGymAcu1.1			na
GCF_914725855.1	PRJNA769113	SAMEA8654749	CAJZAX000000000.1	representative genome	8236	8236	Thunnus albacares			latest	Chromosome	Major	Full	2021/09/16	fThuAlb1.1	WELLCOME SANGER INSTITUTE	GCA_914725855.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/914/725/855/GCF_914725855.1_fThuAlb1.1			na
GCF_910596095.1	PRJNA747049	SAMEA8654747	CAJVDC000000000.1	representative genome	8240	8240	Thunnus maccoyii			latest	Chromosome	Major	Full	2021/07/07	fThuMac1.1	Wellcome Sanger Institute	GCA_910596095.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/910/596/095/GCF_910596095.1_fThuMac1.1			na
GCF_016859285.1	PRJNA713387	SAMN16522248	JADGDB000000000.1	representative genome	8245	8245	Xiphias gladius	breed=wild, /ecotype=Sanya	SHS-SW01	latest	Chromosome	Major	Full	2021/02/12	ASM1685928v1	Institute of Deep-Sea Science and Engineering, Chinese Academy of Sciences	GCA_016859285.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/859/285/GCF_016859285.1_ASM1685928v1			na
GCF_001970005.1	PRJNA369269	SAMN05817825	MPLB00000000.1	representative genome	8255	8255	Paralichthys olivaceus	breed=gynogenesis		latest	Scaffold	Major	Full	2017/01/24	Flounder_ref_guided_V1.0	Tsinghua University	GCA_001970005.2	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/970/005/GCF_001970005.1_Flounder_ref_guided_V1.0			na
GCF_009819705.1	PRJNA627709	SAMN12629501	WOYB00000000.1	representative genome	8267	8267	Hippoglossus hippoglossus		fHipHip1	latest	Chromosome	Major	Full	2019/12/31	fHipHip1.pri	Vertebrate Genomes Project	GCA_009819705.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/819/705/GCF_009819705.1_fHipHip1.pri			na
GCF_017654675.1	PRJNA338693	SAMN18035302	JAGEVR000000000.1	representative genome	8355	8355	Xenopus laevis	strain=J_2021		latest	Chromosome	Major	Full	2021/04/12	Xenopus_laevis_v10.1	International Xenopus Sequencing Consortium	GCA_017654675.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/017/654/675/GCF_017654675.1_Xenopus_laevis_v10.1			na
GCF_000004195.4	PRJNA205740	SAMN13041969	AAMC00000000.4	representative genome	8364	8364	Xenopus tropicalis	strain=Nigerian		latest	Chromosome	Major	Full	2019/11/14	UCB_Xtro_10.0	University of California, Berkeley	GCA_000004195.4	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/004/195/GCF_000004195.4_UCB_Xtro_10.0			na
GCF_905171765.1	PRJNA713386	SAMEA7521636	CAJIMN000000000.1	representative genome	8384	8384	Bufo bufo			latest	Chromosome	Major	Full	2021/01/28	aBufBuf1.1	Wellcome Sanger Institute	GCA_905171765.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/905/171/765/GCF_905171765.1_aBufBuf1.1			na
GCF_905171775.1	PRJNA714106	SAMEA7521635	CAJIMO000000000.1	representative genome	8407	8407	Rana temporaria			latest	Chromosome	Major	Full	2021/01/28	aRanTem1.1	Wellcome Sanger Institute	GCA_905171775.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/905/171/775/GCF_905171775.1_aRanTem1.1			na
GCF_015237465.2	PRJNA675851	SAMN12612360	JADCQM000000000.2	representative genome	8469	8469	Chelonia mydas		rCheMyd1	latest	Chromosome	Major	Full	2021/07/15	rCheMyd1.pri.v2	Vertebrate Genomes Project	GCA_015237465.2	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/015/237/465/GCF_015237465.2_rCheMyd1.pri.v2			na
